ntraial move_ratio     potn
66312     0.4351  -3.918841

66420     0.4537  -3.957926

66528     0.5092  -3.918448

66636     0.4814  -3.983684

66744     0.5462  -3.898245

66852     0.5277  -3.841243

66960     0.5370  -3.847468

67068     0.5833  -3.839984

67176     0.4907  -3.862083

67284     0.5648  -3.855825

67392     0.5092  -3.864938

67500     0.5370  -3.829211

67608     0.5092  -3.813094

67716     0.4629  -3.954324

67824     0.4629  -3.984465

67932     0.4722  -3.977319

68040     0.4814  -3.988089

68148     0.5555  -3.960993

68256     0.5092  -3.875449

68364     0.4166  -3.867133

68472     0.4166  -3.893913

68580     0.4444  -3.765198

68688     0.5185  -3.791284

68796     0.5462  -3.863258

68904     0.5462  -3.814345

69012     0.5648  -3.866541

69120     0.4722  -3.903207

69228     0.5555  -3.877122

69336     0.3796  -3.955465

69444     0.4166  -3.912666

69552        0.5  -3.985152

69660        0.5  -3.946924

69768     0.4907  -3.900989

69876     0.5925  -3.951532

69984     0.4629  -3.858580

70092     0.4907  -3.934341

70200     0.5185  -3.993797

70308     0.4907  -4.011873

70416     0.4444  -3.966663

70524     0.5277  -3.949376

70632     0.5277  -3.982510

70740     0.5370  -3.858645

70848     0.5648  -3.936708

70956     0.5648  -3.891470

71064     0.4722  -3.979022

71172     0.4907  -3.988357

71280        0.5  -4.055708

71388     0.5740  -3.920749

71496     0.4629  -3.908719

71604     0.4074  -3.907320

71712     0.5370  -3.979596

71820     0.4074  -3.950743

71928     0.5462  -3.983696

72036     0.4537  -3.998726

72144     0.5370  -3.885854

72252     0.5370  -3.847792

72360     0.5092  -3.923226

72468     0.6018  -3.955722

72576     0.3981  -3.979198

72684     0.5277  -3.898974

72792        0.5  -3.900722

72900     0.6203  -3.934751

73008     0.5648  -3.932628

73116     0.5277  -3.997425

73224        0.5  -4.062394

73332     0.5555  -4.052238

73440        0.5  -3.981405

73548     0.4351  -3.917748

73656     0.5370  -3.869322

73764     0.5370  -3.847639

73872     0.5925  -3.878230

73980     0.4814  -3.899309

74088     0.4629  -3.893433

74196     0.4629  -3.902245

74304     0.4444  -3.924230

74412     0.5185  -3.976188

74520     0.4444  -3.887191

74628     0.5185  -3.958923

74736     0.4351  -3.951205

74844     0.4907  -3.961617

74952     0.4629  -3.938892

75060     0.5648  -3.895043

75168     0.5740  -3.919304

75276     0.3796  -3.823397

75384     0.5277  -3.780861

75492        0.5  -3.809639

75600     0.5092  -3.900747

75708     0.4629  -3.917971

75816     0.4537  -3.837758

75924     0.4351  -3.787485

76032     0.4629  -3.805460

76140     0.5277  -3.860705

76248     0.4537  -3.820125

76356     0.5740  -3.827705

